Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2023-03-15 00:00:00-04:00,152.57266235351562,264.3014221191406,96.11000061035156,96.19999694824219,180.4499969482422
2023-03-16 00:00:00-04:00,155.4248504638672,275.0152587890625,100.31999969482422,100.04000091552734,184.1300048828125
2023-03-17 00:00:00-04:00,154.57716369628906,278.23138427734375,101.62000274658203,98.94999694824219,180.1300048828125
2023-03-20 00:00:00-04:00,156.97061157226562,271.0622863769531,101.22000122070312,97.70999908447266,183.25
2023-03-21 00:00:00-04:00,158.84547424316406,272.6056213378906,104.91999816894531,100.61000061035156,197.5800018310547
2023-03-22 00:00:00-04:00,157.39944458007812,271.1220397949219,103.37000274658203,98.69999694824219,191.14999389648438
2023-03-23 00:00:00-04:00,158.49642944335938,276.468994140625,105.5999984741211,98.70999908447266,192.22000122070312
2023-03-24 00:00:00-04:00,159.81285095214844,279.36651611328125,105.44000244140625,98.12999725341797,190.41000366210938
2023-03-27 00:00:00-04:00,157.8482208251953,275.1944885253906,102.45999908447266,98.04000091552734,191.80999755859375
2023-03-28 00:00:00-04:00,157.2199249267578,274.0494384765625,101.02999877929688,97.23999786376953,189.19000244140625
2023-03-29 00:00:00-04:00,160.33143615722656,279.3067932128906,101.38999938964844,100.25,193.8800048828125
2023-03-30 00:00:00-04:00,161.91709899902344,282.8315734863281,100.88999938964844,102.0,195.27999877929688
2023-03-31 00:00:00-04:00,164.4501495361328,287.0633239746094,103.7300033569336,103.29000091552734,207.4600067138672
2023-04-03 00:00:00-04:00,165.71669006347656,285.9979553222656,104.36000061035156,102.41000366210938,194.77000427246094
2023-04-04 00:00:00-04:00,165.1781768798828,285.9481506347656,104.72000122070312,103.94999694824219,192.5800018310547
2023-04-05 00:00:00-04:00,163.31326293945312,283.1203308105469,104.47000122070312,101.0999984741211,185.52000427246094
2023-04-06 00:00:00-04:00,164.2108154296875,290.34918212890625,108.41999816894531,102.05999755859375,185.05999755859375
2023-04-10 00:00:00-04:00,161.58798217773438,288.148681640625,106.44000244140625,102.16999816894531,184.50999450683594
2023-04-11 00:00:00-04:00,160.36134338378906,281.6167907714844,105.3499984741211,99.91999816894531,186.7899932861328
2023-04-12 00:00:00-04:00,159.6632537841797,282.27398681640625,104.63999938964844,97.83000183105469,180.5399932861328
2023-04-13 00:00:00-04:00,165.1083526611328,288.59674072265625,107.43000030517578,102.4000015258789,185.89999389648438
2023-04-14 00:00:00-04:00,164.7593231201172,284.91265869140625,108.87000274658203,102.51000213623047,185.0
2023-04-17 00:00:00-04:00,164.7792510986328,287.56121826171875,105.97000122070312,102.73999786376953,187.0399932861328
2023-04-18 00:00:00-04:00,166.01588439941406,287.133056640625,104.5,102.30000305175781,184.30999755859375
2023-04-19 00:00:00-04:00,167.1727294921875,287.2127380371094,104.18000030517578,104.30000305175781,180.58999633789062
2023-04-20 00:00:00-04:00,166.19537353515625,284.88275146484375,105.29000091552734,103.80999755859375,162.99000549316406
2023-04-21 00:00:00-04:00,164.56983947753906,284.5342712402344,105.41000366210938,106.95999908447266,165.0800018310547
2023-04-24 00:00:00-04:00,164.8789825439453,280.56134033203125,105.97000122070312,106.20999908447266,162.5500030517578
2023-04-25 00:00:00-04:00,163.3232421875,274.2386169433594,103.8499984741211,102.56999969482422,160.6699981689453
2023-04-26 00:00:00-04:00,163.31326293945312,294.10302734375,103.70999908447266,104.9800033569336,153.75
2023-04-27 00:00:00-04:00,167.95059204101562,303.5224609375,107.58999633789062,109.81999969482422,160.19000244140625
2023-04-28 00:00:00-04:00,169.2171173095703,305.9420471191406,107.33999633789062,105.44999694824219,164.30999755859375
2023-05-01 00:00:00-04:00,169.1273651123047,304.24932861328125,107.19999694824219,102.05000305175781,161.8300018310547
2023-05-02 00:00:00-04:00,168.08021545410156,304.0999450683594,105.31999969482422,103.62999725341797,160.30999755859375
2023-05-03 00:00:00-04:00,166.99319458007812,303.09429931640625,105.41000366210938,103.6500015258789,160.61000061035156
2023-05-04 00:00:00-04:00,165.3377227783203,304.0999450683594,104.69000244140625,104.0,161.1999969482422
2023-05-05 00:00:00-04:00,173.0965118408203,309.3174743652344,105.56999969482422,105.66000366210938,170.05999755859375
2023-05-08 00:00:00-04:00,173.0266876220703,307.3260803222656,107.7699966430664,105.83000183105469,171.7899932861328
2023-05-09 00:00:00-04:00,171.30142211914062,305.68316650390625,107.3499984741211,106.62000274658203,169.14999389648438
2023-05-10 00:00:00-04:00,173.08653259277344,310.9703674316406,111.75,110.19000244140625,168.5399932861328
2023-05-11 00:00:00-04:00,173.27601623535156,308.77978515625,116.56999969482422,112.18000030517578,172.0800018310547
2023-05-12 00:00:00-04:00,172.3372802734375,307.64471435546875,117.51000213623047,110.26000213623047,167.97999572753906
2023-05-15 00:00:00-04:00,171.8379669189453,308.1325988769531,116.51000213623047,111.19999694824219,166.35000610351562
