Year,Country,Region,SubRegion,IntermRegion,SurfAreaSqKm,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,DomCredit%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,GrossCapForm%GDP,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MilExp%GDP,MobileSubs/100,MortRateU5,NetMigr,PopTotal,RevenueExGrants%GDP,SchEnrollPrim%,TaxRevenue%GDP,UrbanPopGrowth%
1974,Lao PDR,Asia,South-eastern Asia,,236800.0,12.7681195840555,2.38046018878968,,,102.24,,,,6.289,430000.0,,,,,,,45.532,,,,,-6000.0,2946882.0,,,,4.6201566230323
1974,Chile,Americas,Latin America and the Caribbean,South America,756096.0,14.0851274726575,1.58710124264184,16209686087.6269,2.38214933308889,86.083,5.68891835140783,,19.5327787216096,3.293,2310000.0,1650.0,17227987571.0319,22.1529248961208,19.3037988443886,48.7336833467235,678.608462183602,64.901,28.5569996542584,7.10956116396779,,71.1,-31225.0,10472743.0,26.1199104105804,126.980392456055,16.337951930124,2.38613691546541
1974,Hungary,Europe,Eastern Europe,,93030.0,116.469045237301,0.446325661927294,,,73.453,,,,2.27,,,,,,,,69.2480487804878,,3.2078413900646,,37.9,474.0,10478720.0,,102.686988830566,,1.13140579547352
1974,Seychelles,Africa,Sub-Saharan Africa,Eastern Africa,460.0,125.95,1.82014795916412,43134498.6932177,1.30284967563743,153.098,,,,,1730000.0,770.0,44884056.4569019,,,,20.9343671492247,,81.1415480887534,,,55.7,84.0,57937.0,,101.739036560059,,5.20707833809931
1974,Nicaragua,Americas,Latin America and the Caribbean,Central America,130370.0,23.0115589164035,3.17211725112492,1521400011.53463,14.1924250953044,173.097,,,29.0748893382992,6.576,13800000.0,500.0,1380270130.44987,31.4973276628354,42.6072898129957,,21.7912860751004,55.85,61.982384175796,1.45341316914625,,151.3,-8641.0,2769211.0,,69.8379821777344,,3.74755809103668
1974,Panama,Americas,Latin America and the Caribbean,Central America,75420.0,22.7424804950229,2.6428039388625,2188307600.0,2.4483195624656,124.011,8.27174845072055,,67.5883454410157,4.575,,1230.0,2080596376.54282,41.5831394087376,82.5506980828472,25.8953265985093,11.6113797580011,67.653,47.2054294377993,,,54.9,-2531.0,1690676.0,,115.750297546387,,3.21868678890646
1974,Belize,Americas,Latin America and the Caribbean,Central America,22970.0,5.63875493204735,1.36599709106654,103160463.464838,13.5599851718049,150.697,,,,6.287,,740.0,95508689.8379563,,,,21.7106229615321,65.03,105.660634257573,,,82.4,-2400.0,128620.0,,102.822547912598,,1.04978058567156
1974,Mexico,Americas,Latin America and the Caribbean,Central America,1964380.0,29.2939015921191,3.06275963957695,72000179025.5041,5.77682723020637,126.002,11.4785555555556,,8.40866666666667,6.004,508755999.9,1230.0,70206118790.2023,23.1722888888889,10.5724444444444,30.8483777777778,23.1328483478072,62.459,12.5208022007927,0.565744136934534,,91.8,-135138.0,56945880.0,10.5555555555556,107.86792755127,8.0,4.26795448337908
1974,Japan,Asia,Eastern Asia,,377800.0,300.496453900709,1.32958201880625,479625998614.637,-1.22523982778432,4.579,,149.212264780981,13.0385566169683,2.05,202000000.0,4490.0,494417321019.572,41.6089345213289,13.865798165836,,20.8100504241021,73.6721951219512,24.4809498107171,0.862068323351509,,14.0,38925.0,110162000.0,,98.3008193969727,,2.34168880946869
1974,Uruguay,Americas,Latin America and the Caribbean,South America,176220.0,16.3043537881385,0.589168079350562,4090209681.97172,2.89534459834873,67.872,,,14.3820674917639,2.959,-80000.0,1350.0,3859897368.87181,15.8534413676431,16.8907488202297,,28.4870381751439,69.193,21.2458545543585,4.53145622525297,,54.9,-14518.0,2853588.0,20.2341732704122,106.284332275391,12.7103552666726,0.826328946808992
